"","ID","GPA_1","GPA_2","GPA_3","GPA_4","GPA_5","GPA_6","Degrees_1","Degrees_2","Degrees_3","Degrees_4","Degrees_5","Degrees_6","avg_degrees","Homophily_1","Homophily_2","Homophily_3","Homophily_4","Homophily_5","Homophily_6","GPA_Diff1","GPA_Diff2","GPA_Diff3","GPA_Diff4","GPA_Diff5","GPA_Diff6"
"178","X178",3.375,3.375,3.25,3.25,3.25,3.25,6,6,4,5,5,10,6,"0.82172326206914","0.694097135373237","1.25934010497562","0.947034846243791","1.125","0.598973398952793","0.450396825396825","0.395833333333333","1.125","0.725","0.925","0.444642857142857"
"179","X179",4.83333333333333,4.83333333333333,4.83333333333333,4.83333333333333,4.83333333333333,4.83333333333333,1,11,5,2,17,12,8,"0.958333333333333","0.818041514345035","0.894427190999916","0.600925212577331","0.888856583713348","0.87409013540642","-0.958333333333333","-0.651515151515151","-0.733333333333333","-0.5","-0.633053221288515","-0.614583333333333"
"180","X180",4.5,4.33333333333333,4.5,4.5,4.66666666666667,4.66666666666667,6,0,6,0,0,6,3,"0.509175077217316","NaN","0.32631500345752","NaN","NaN","0.384900179459751","-0.111111111111111","NaN","0.138888888888889","NaN","NaN","-2.96056461560674e-16"
"181","X181",4,4,4,4,3.875,3.875,5,17,6,3,15,1,7.83333333333333,"0.449914957950672","0.519051072252281","0.380696528666569","0.444878260501305","0.417391659511882","0.375","-0.307142857142857","-0.278361344537815","-0.104166666666667","-0.25","-0.0825396825396825","0.375"
"182","X182",3.57142857142857,3.375,3.42857142857143,3.42857142857143,3.28571428571429,3.28571428571429,10,20,34,38,48,11,26.8333333333333,"0.512938463508966","0.627627696125108","0.635198406646555","0.697962505374879","0.802633013197048","0.870428985761482","0.301785714285714","0.476190476190476","0.421393557422969","0.517230576441103","0.634176587301587","0.752164502164502"
"183","X183",3,3.125,3,3,3,3,2,4,4,10,14,19,8.83333333333333,"0.279508497187474","0.658478359553296","0.734208757779421","0.848298867963264","0.923615601797296","0.760532912826932","0.25","0.46875","0.625","0.708928571428571","0.746173469387755","0.582706766917293"
"184","X184",4.5,4.375,4.375,4.375,4.375,4.375,1,0,3,2,1,1,1.33333333333333,"0.125","NaN","0.669027495037122","0.395284707521047","0.25","0.25","-0.125","NaN","-0.529761904761905","-0.375","-0.25","-0.25"
"185","X185",4.25,4.125,4.125,4.125,4.125,4.125,1,2,2,3,6,13,4.5,"0","0.5","0.279508497187474","0.388640793878701","0.293241617541752","0.467733395261004","0","0","-0.125","0.125","-0.0178571428571428","-0.0370879120879121"
"186","X186",4,3.57142857142857,3.71428571428571,3.71428571428571,3.85714285714286,3.85714285714286,3,2,3,2,4,3,2.83333333333333,"0.799659791606984","0.451753951452626","0.633530223602384","0.73847916282242","0.721393209883005","0.386858971649331","-0.190476190476191","-0.142857142857143","0.142857142857143","0.690476190476191","0.428571428571428","0.380952380952381"
"187","X187",3.71428571428571,3.71428571428571,3.71428571428571,3.71428571428571,3.71428571428571,3.71428571428571,3,3,5,8,12,17,8,"0.262265264156481","0.456551887358206","0.355711417085392","0.669636243353583","0.628732712142621","0.456341848274216","0.0793650793650794","0.220238095238095","0.142857142857143","0.488095238095238","0.392361111111111","0.213935574229692"
"188","X188",4,4.33333333333333,4.16666666666667,4.16666666666667,4,4,0,0,3,4,8,13,4.66666666666667,"NaN","NaN","0.581843335157039","0.61590606246227","0.822982592295987","0.731688563305267","NaN","NaN","0.319444444444444","0.416666666666666","0.682291666666667","0.410714285714286"
"189","X189",3.66666666666667,3.83333333333333,3.66666666666667,3.66666666666667,3.5,3.5,0,0,0,0,1,23,4,"NaN","NaN","NaN","NaN","0.666666666666667","0.72401181009256","NaN","NaN","NaN","NaN","0.666666666666667","0.438146997929607"
"190","X190",3.75,3.75,3,3,3.75,3.75,8,0,0,0,0,4,2,"0.517048321568434","NaN","NaN","NaN","NaN","0.691373595807355","0.0959821428571429","NaN","NaN","NaN","NaN","0.258928571428571"
"191","X191",4,4.16666666666667,4,4,4,4,1,1,2,2,13,7,4.33333333333333,"0.5","0.166666666666666","0.235702260395516","0.235702260395516","0.625146067006199","0.468820518936994","-0.5","0.166666666666666","-0.166666666666667","-0.166666666666667","-0.157509157509158","-0.17687074829932"
"192","X192",5,5,5,5,5,5,17,9,6,3,3,1,6.5,"0.862702750515861","1.23110722522451","1.0155048005795","0.783953655092782","0.822850735755479","1.375","-0.645658263305322","-1.04166666666667","-0.875","-0.666666666666667","-0.583333333333333","-1.375"
"193","X193",3.5,3.5,3.14285714285714,3.14285714285714,3.14285714285714,3.14285714285714,9,8,11,12,11,22,12.1666666666667,"0.32996813217941","0.318501053245303","0.594282241186155","0.643063789537994","0.978150089404789","0.839691460364183","0.0337301587301588","-0.0513392857142857","0.404220779220779","0.443452380952381","0.803571428571429","0.671266233766234"
"194","X194",3.875,3.875,3.75,3.75,3.75,3.75,17,5,14,7,3,9,9.16666666666667,"0.622955840804015","0.447213595499958","0.806005384163339","0.740218035800791","0.444878260501305","0.618159848776557","0.0241596638655462","-0.3","0.150510204081633","0.0969387755102041","0.25","0.212301587301587"
"195","X195",3.75,3.625,3.875,3.875,3.625,3.625,1,1,1,0,1,5,1.5,"0.125","0.375","0.25","NaN","0.5","0.292987775742767","0.125","-0.375","-0.25","NaN","0.5","-0.0142857142857143"
"196","X196",3.57142857142857,3.5,3.42857142857143,3.42857142857143,3.28571428571429,3.28571428571429,1,2,3,1,6,2,2.5,"0.571428571428572","0.515388203202208","0.699854212223765","0.0535714285714284","0.802115082417839","0.842981982280155","-0.571428571428572","0.5","0.571428571428572","-0.0535714285714284","0.494047619047619","0.741071428571429"
"197","X197",3.16666666666667,3.33333333333333,3.33333333333333,3.33333333333333,3.16666666666667,3.16666666666667,1,1,2,7,10,3,4,"0.119047619047619","0.380952380952381","0.26937401188059","0.844531178946345","0.815315416893943","0.495444096349638","0.119047619047619","0.380952380952381","0.19047619047619","0.67687074829932","0.614285714285715","0.261904761904762"
"198","X198",3.25,3.5,3.5,3.5,3.125,3.125,3,1,3,1,4,13,4.16666666666667,"0.375","0.5","0.297559517855952","0.5","0.522912516583797","0.723701674054874","0.208333333333333","0.5","0.208333333333333","0.5","0.25","0.494505494505495"
"199","X199",3.875,4.125,3.875,3.875,3.75,3.75,10,14,16,23,23,19,17.5,"0.565679787909184","0.693183175972913","0.578430869169483","0.544150845773241","0.551337910514542","0.625161096316792","0.0160714285714286","-0.385204081632653","-0.0915178571428572","-0.0377846790890269","0.0706521739130435","0.200187969924812"
"200","X200",5,5,5,5,5,5,1,0,2,0,12,12,4.5,"1.33333333333333","NaN","1.34370962471643","NaN","0.991671549560188","0.9649774610725","-1.33333333333333","NaN","-1.16666666666667","NaN","-0.737103174603175","-0.699404761904762"
"201","X201",4.25,4.25,4.25,4.25,4.25,4.25,11,0,1,8,2,3,4.16666666666667,"0.452074685572868","NaN","0.125","0.455006868080032","0.279508497187474","0.297559517855952","-0.0811688311688312","NaN","0.125","-0.25","-0.25","-0.208333333333333"
"202","X202",4.125,4.125,4.25,4.25,4.25,4.25,5,9,19,12,19,22,14.3333333333333,"0.686931583201704","0.765402540747492","0.862407901927272","0.761131257285054","0.800803969305249","0.751996500905248","-0.625","-0.532407407407407","-0.641290726817043","-0.462797619047619","-0.602756892230576","-0.506493506493506"
"203","X203",3.125,3,3.125,3.125,3.125,3.125,7,2,3,1,3,4,3.33333333333333,"0.512685293247755","0.643476883811688","0.756069544726267","0.125","0.923233282479326","0.936266194922738","0.403061224489796","0.5625","0.476190476190476","0.125","0.613095238095238","0.758928571428572"
"204","X204",3.42857142857143,3.71428571428571,3.71428571428571,3.71428571428571,3.85714285714286,3.85714285714286,1,4,2,6,14,11,6.33333333333333,"0.714285714285715","0.287937776724948","0.428571428571429","0.49295873502443","0.456080469033573","0.532251918475336","0.714285714285715","0.160714285714286","0.428571428571429","0.373015873015873","-0.011904761904762","0.0627705627705627"
"205","X205",3.75,4,3.5,3.5,3.5,3.5,0,1,4,6,18,23,8.66666666666667,"NaN","1","0.790569415042095","0.612372435695794","0.76537296571279","0.666345401000033","NaN","1","0.25","0.25","0.524801587301587","0.445652173913044"
"206","X206",4.25,4.25,4.5,4.5,4.5,4.5,4,9,16,18,13,11,11.8333333333333,"0.861503047005639","0.804716996492832","0.928539233645174","0.97912595804797","1.01120828218172","1.00619889907006","-0.8125","-0.458333333333333","-0.670758928571429","-0.732142857142857","-0.853021978021978","-0.816558441558442"
"207","X207",4,3.83333333333333,3.83333333333333,3.83333333333333,3.83333333333333,3.83333333333333,4,6,21,20,17,22,15,"0.280094154278112","0.364037289502254","0.561731244106794","0.513130108747676","0.563802254807786","0.490253319577997","-0.0163690476190474","0.0833333333333332","-0.198696145124717","-0.0526785714285715","-0.0840336134453783","-0.101461038961039"
